,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
0,40,14,256.5,79.69848418235779,24.763541445293956,0.5074545028872507,18.07168899756105,1.244074491301876,321.5,0.7978227060405032,0.1676923076923076,0.1676923076923076,0.9161538461538462,0.286669822485207,0.5354155605557305,0.47817773,0.22658485,0.18606043,0.31146553,0.46219704,0.42560616,0.49907005,0.30881655,0.29282302,0.44155884,0.2989196,0.50945723,0.334716,0.21239857,0.15624587,0.27951762,1,0.008987880677417884
1,38,62,148.5,50.041629791259766,16.86306203364893,0.745200995429392,13.750493532712625,1.0266164701297136,165.0,0.8999999999454545,0.1552631578947368,0.1552631578947368,0.9223684210526316,0.3231163434903047,0.5684332357368846,0.4490239,0.21677934,0.1655704,0.2922008,0.44306,0.4216173,0.4699027,0.27622464,0.27324033,0.42184767,0.27961624,0.48716086,0.31498286,0.1965327,0.14644307,0.2605112,1,0.008388445429593184
2,41,94,175.5,52.38477575778961,15.636266273718174,0.8036682411017274,14.948362455500638,0.9885679753027736,186.5,0.9410187667055754,0.1818181818181818,0.1818181818181818,0.9090909090909092,0.3134686381439628,0.5598827003435298,0.47073254,0.22568034,0.18402828,0.31013712,0.46120957,0.4292867,0.4916433,0.3025827,0.2918606,0.43885604,0.29654172,0.5006123,0.33240893,0.20974047,0.15761429,0.27843016,1,0.00841211320099312
3,147,119,0.5,3.414213538169861,23.313707702170564,0.5390120916323216,0.7978845608028654,1.207106768361645,0.5,0.9999999800000005,0.225,0.225,0.8875000000000001,0.2031597222222223,0.4507324286339095,0.5661989,0.25915772,0.26943165,0.37979645,0.53730947,0.5590363,0.588385,0.44524634,0.36846378,0.53521234,0.36165154,0.5023519,0.40427873,0.29483446,0.17729749,0.34729818,1,0.009318695617511731
4,42,136,23.0,19.313708305358887,16.218231667056806,0.7748298869157247,5.4115163798060095,1.0067966421154626,24.5,0.938775509820908,0.1590909090909091,0.1590909090909091,0.9204545454545456,0.391988062442608,0.6260895003452844,0.46916816,0.19113474,0.14816995,0.28088155,0.44010195,0.42228958,0.47904527,0.29039538,0.25575912,0.4012277,0.2713195,0.49883407,0.31524825,0.19806415,0.123232566,0.24599276,1,0.0087847471356658
5,158,41,264.5,64.5269113779068,15.741861216691188,0.7982773091996069,18.351344898465904,0.9919003608114674,282.0,0.9379432623780872,0.2592592592592592,0.2592592592592592,0.8703703703703703,0.1863469667702471,0.4316792406060861,0.5208932,0.2758832,0.24271992,0.36800912,0.5144724,0.44871545,0.54268974,0.36473808,0.35598278,0.5086741,0.35112774,0.53770477,0.3805491,0.25204438,0.1968101,0.33907267,1,0.009563114294337387
6,147,81,43.5,25.899494767189022,15.420317908998816,0.814922927363882,7.442171739215616,0.9817178152622832,45.5,0.9560439558338364,0.1373626373626373,0.1373626373626373,0.9313186813186812,0.3479048424103369,0.5898345890250393,0.4454056,0.21523441,0.16980347,0.29020497,0.44369692,0.4368961,0.46044943,0.2816144,0.27014554,0.42352843,0.2769864,0.4669971,0.3134679,0.19202822,0.1371487,0.2574723,1,0.009081928926928157
7,150,194,81.0,37.3137081861496,17.189047141101693,0.7310684827124223,10.155412503859614,1.0364918937717966,88.5,0.9152542371847172,0.2087912087912088,0.2087912087912088,0.8956043956043956,0.2504528438594373,0.5004526389773934,0.4482427,0.2396062,0.17590557,0.31076843,0.4581391,0.4386842,0.48050424,0.26468134,0.29467922,0.44644594,0.29518396,0.46994826,0.3255311,0.19590744,0.17544182,0.279679,1,0.009117252630859642
8,262,75,120.0,45.79898941516876,17.479561927299542,0.7189179377330924,12.360774464742066,1.045214150329308,132.0,0.9090909090220384,0.1503267973856208,0.1503267973856208,0.9248366013071896,0.3832073134264599,0.6190374087455942,0.42904505,0.20178522,0.15267211,0.27270424,0.4209344,0.41995385,0.45251155,0.25428143,0.25163576,0.39201686,0.26188648,0.46554244,0.29700497,0.17784849,0.14383845,0.24114038,1,0.008659290151929296
9,265,188,150.5,60.87005722522736,24.61902901233397,0.5104332346817826,13.842779759955802,1.2404391612433028,193.0,0.7797927460735858,0.1471861471861472,0.1471861471861472,0.9264069264069263,0.4373231386218399,0.6613041196165649,0.3690381,0.17998093,0.12937354,0.23015729,0.37108865,0.39812472,0.3822674,0.20535487,0.20945899,0.34373578,0.22138083,0.42645934,0.25306737,0.14661449,0.11249635,0.20118968,1,0.00877220143729215
10,483,186,36.0,26.485281229019165,19.4852811551495,0.6449160528211508,6.770275002573076,1.1035533840826512,39.5,0.9113924048325588,0.1333333333333333,0.1333333333333333,0.9333333333333332,0.5497569444444445,0.7414559625793324,0.3522321,0.16034785,0.10750606,0.20763783,0.34937483,0.36480844,0.33993876,0.1858516,0.18460587,0.31542835,0.20099658,0.43982735,0.2348511,0.13485841,0.09122194,0.178585,1,0.002663336095166507
11,380,203,388.0,83.59797883033752,18.01191253695217,0.697669977479454,22.22649192646566,1.061011090094147,435.5,0.8909299655363736,0.189655172413793,0.189655172413793,0.9051724137931034,0.2881173206500198,0.5367656105322134,0.44833913,0.25370884,0.21135837,0.31953746,0.459064,0.43182692,0.47143796,0.29065466,0.30601218,0.45050135,0.30473837,0.47946382,0.3291,0.20276335,0.18647887,0.29218924,1,0.0034748025431643203
12,603,149,210.5,63.69848394393921,19.275519508615325,0.651934211584523,16.371222439596615,1.097597361936751,235.0,0.895744680812947,0.197463768115942,0.197463768115942,0.901268115942029,0.3519875026254989,0.5932853467139559,0.4039144,0.21364468,0.15946543,0.26959565,0.41261697,0.4051514,0.41569653,0.23970146,0.25185752,0.3958806,0.25772336,0.45767316,0.2869545,0.17024764,0.14994249,0.24058795,1,0.0007558560828663843
13,42,217,276.5,71.8406194448471,18.665730929593803,0.6732321740455843,18.763015059400036,1.0800963766215563,310.0,0.8919354838421956,0.1798941798941798,0.1798941798941798,0.91005291005291,0.33192309845749,0.5761276754830391,0.48652163,0.2311398,0.19141747,0.32049626,0.46831784,0.43379432,0.5065713,0.32362324,0.30421725,0.44932684,0.3073914,0.51584375,0.34261414,0.22645703,0.16843879,0.29040518,1,0.007264760147601477
14,43,289,58.5,31.899494767189022,17.394491730392737,0.7224339064837887,8.63044108762739,1.0426676040928329,63.5,0.9212598423746048,0.1333333333333333,0.1333333333333333,0.9333333333333332,0.4737847222222222,0.6883202177927235,0.3217604,0.17028952,0.095099784,0.200831,0.33830038,0.3893999,0.34637398,0.15135631,0.18099217,0.31782898,0.19282503,0.3893294,0.22119203,0.12316332,0.113884814,0.17384389,1,0.003960970599289327
15,44,171,154.0,59.45584344863892,22.954528051685152,0.5474462635525672,14.002817212590296,1.1977720996689818,199.0,0.7738693466947804,0.2012987012987013,0.1926406926406926,0.9045454545454544,0.3785348850283915,0.6152518874643064,0.4646075,0.21556039,0.17484248,0.2983184,0.4473076,0.41940084,0.48162228,0.29606697,0.2792787,0.42182788,0.2867343,0.5028745,0.32280886,0.20507304,0.15351796,0.2671524,1,0.007133964568812355
