Epoch:    0, Training time:    0.4217 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    1, Training time:    0.8486 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    2, Training time:    1.2773 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    3, Training time:    1.7033 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    4, Training time:    2.1307 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    5, Training time:    2.5570 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    6, Training time:    2.9832 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    7, Training time:    3.4067 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    8, Training time:    3.8296 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:    9, Training time:    4.2543 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   10, Training time:    4.6782 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   11, Training time:    5.1018 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   12, Training time:    5.5236 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   13, Training time:    5.9460 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   14, Training time:    6.3716 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   15, Training time:    6.7952 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   16, Training time:    7.2199 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   17, Training time:    7.6423 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   18, Training time:    8.0663 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   19, Training time:    8.4870 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   20, Training time:    8.9115 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   21, Training time:    9.3329 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   22, Training time:    9.7577 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   23, Training time:   10.1801 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   24, Training time:   10.6045 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   25, Training time:   11.0294 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   26, Training time:   11.4522 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   27, Training time:   11.8784 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   28, Training time:   12.3022 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   29, Training time:   12.7241 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   30, Training time:   13.1481 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   31, Training time:   13.5723 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   32, Training time:   13.9947 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   33, Training time:   14.4198 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   34, Training time:   14.8442 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   35, Training time:   15.2710 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   36, Training time:   15.6962 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   37, Training time:   16.1241 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   38, Training time:   16.5490 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   39, Training time:   16.9739 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   40, Training time:   17.4014 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   41, Training time:   17.8283 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   42, Training time:   18.2574 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   43, Training time:   18.6837 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   44, Training time:   19.1138 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   45, Training time:   19.5375 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   46, Training time:   19.9649 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   47, Training time:   20.3870 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   48, Training time:   20.8105 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   49, Training time:   21.2380 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   50, Training time:   21.6642 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
Epoch:   51, Training time:   22.0939 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1002_nano_cbbox_bgr_diou_BitNet/
