,Epoch,Losses train,Times train,Losses eval,Times eval,L1 Losses cbbox,L1 Losses conf,L2 Losses cbbox,L2 Losses conf
0,1.0,6.020380526781082,0.22619625429312387,3.926696473901922,0.081437425179915,0.7032179795205593,1.2680955131848652,0.6569877564907074,1.9733857822914918
1,2.0,3.6148768911759057,0.1418715367714564,3.2975680828094482,0.0673403414812955,0.6313653662800789,0.4600053609659274,0.5376147193213304,0.6132283086578051
2,3.0,3.3025801678498587,0.1419293483098348,3.111195304177024,0.06754938038912686,0.5680288722117742,0.40418234715859097,0.4725721577803294,0.555680854866902
3,4.0,3.0254228909810386,0.14186555643876395,2.7566381042653862,0.06757370992140337,0.561571820328633,0.3658982211103042,0.46411390726764995,0.5079992829511563
4,5.0,2.9164034773906073,0.14188766479492188,2.730601440776478,0.06775550408796831,0.5336703031013409,0.3354979542394479,0.41854316865404445,0.4657333039989074
5,6.0,2.618290071686109,0.14162112772464752,2.309886162931269,0.06752271001989191,0.5331118255853653,0.304501395051678,0.38858449334899586,0.4134080931544304
6,7.0,2.4546855439742408,0.1416183809439341,2.5984800078652124,0.06728675148703835,0.5336726382374763,0.27916639608641464,0.37143838716049987,0.3659041778494914
7,8.0,2.324291860063871,0.14162829518318176,2.3116307908838447,0.06728054176677357,0.4890273679047823,0.24889441020786762,0.36815320203701657,0.3326909722139438
8,9.0,2.186600853999456,0.14167929689089456,2.2587181329727173,0.06754216280850497,0.4672905628879865,0.23204050492495298,0.34729525943597156,0.32249540090560913
9,10.0,1.9451122830311458,0.14173771440982819,1.62996046109633,0.06772436878897926,0.4420990062256654,0.21812408231198788,0.3281536493450403,0.3028682892521222
10,11.0,2.042526530722777,0.1417985955874125,1.8487033302133733,0.06741071831096303,0.4169220309704542,0.21254245533297458,0.32161486397186917,0.3003958569218715
11,12.0,1.8591730420788128,0.14178507030010223,1.6860480958765203,0.06732729348269376,0.3937502292295297,0.20524865326782069,0.3124955513825019,0.28986343120535213
12,13.0,1.5914949278036754,0.14155633250872293,1.387590836394917,0.06763265349648216,0.3799972285827001,0.2029592894638578,0.3107456856717666,0.2853780422980587
13,14.0,1.431561308602492,0.14179876943429312,1.3469973477450283,0.06739640235900879,0.36192279246946174,0.19930375926196575,0.3000505367914836,0.27999397615591687
14,15.0,1.4644880418976147,0.14144852757453918,1.2810211886059155,0.06760005517439409,0.35420976392924786,0.20003336823234955,0.2939783229182164,0.28044670447707176
15,16.0,1.4416976521412532,0.14198134342829385,1.5194868120280178,0.06762713735753839,0.34459219376246136,0.19554802713294825,0.30005681949357194,0.2753816805779934
16,17.0,1.4020582139492035,0.14160277446111044,1.2563238956711509,0.06741718812422319,0.3399237338453531,0.1949302116408944,0.29712121064464253,0.2786222953970234
17,18.0,1.3477481206258137,0.1416168361902237,1.3612373796376316,0.06745487993413751,0.3374837568650643,0.1940387257685264,0.29775020355979603,0.27419663437952596
18,19.0,1.311536913116773,0.1422027349472046,1.2780660553412004,0.06720873442563144,0.3270925370355447,0.1864010930682222,0.2842736716071765,0.270594850803415
19,20.0,1.280738351245721,0.14177805682023367,1.3544345877387307,0.06735452738675204,0.321965167298913,0.17975802129755417,0.2856170392284791,0.2634134106338024
20,21.0,1.2536310032010078,0.14193718632062277,1.2162996422160754,0.06735089692202481,0.31449774218102294,0.18306157986323038,0.2860534302890301,0.266316338442266
21,22.0,1.310474269092083,0.14173809190591177,1.3136845231056213,0.06725017590956255,0.3129902904232343,0.18977240907649198,0.28798332437872887,0.26582179094354313
22,23.0,1.246953787902991,0.14155379931131998,1.1590611230243335,0.06764965707605536,0.31539767297605675,0.17737870632360378,0.2819131438930829,0.2584303518136342
