Epoch:   36, Training time:   36.2338 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   37, Training time:   37.2151 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   38, Training time:   38.1979 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   39, Training time:   39.1893 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   40, Training time:   40.1778 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   41, Training time:   41.1645 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   42, Training time:   42.1682 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   43, Training time:   43.1614 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   44, Training time:   44.1537 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   45, Training time:   45.1375 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   46, Training time:   46.1315 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   47, Training time:   47.1328 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
