,Deletion,Insertion,Pointing Game,Energy Pointing Game,Top-k Inter,Times
0,0.0944095030426979,0.7475640177726746,1.0,0.20327623,0.890666663646698,0.5213122550012486
1,0.1163259893655777,0.7682905793190002,0.75,0.08535649,0.7666666507720947,0.5084159059988451
2,0.1213138103485107,0.668608546257019,1.0,0.31826127,0.9170370101928712,0.5469094609979948
3,0.1610907018184662,0.8517180681228638,1.0,0.2036309,0.9523810148239136,0.515218601001834
4,0.1395753175020218,0.6037804484367371,0.4,0.088436775,0.3840000033378601,0.5159136280017265
5,0.2369940876960754,0.8138654828071594,0.7777777777777778,0.08253935,0.8288888931274414,0.5072265729977516
6,0.2756974697113037,0.7261723875999451,0.5,0.18324688,0.7333332896232605,0.5103032200022426
7,0.1433745771646499,0.816891610622406,0.8181818181818182,0.21890008,0.8981818556785583,0.5122493189992383
8,0.1041074842214584,0.6654154062271118,1.0,0.15187682,0.9714285731315612,0.5145473760021559
9,0.4544420838356018,0.6500070095062256,0.4761904761904761,0.104390725,0.4222221970558166,0.5246593929987284
10,0.1261690407991409,0.771925151348114,1.0,0.2018711,1.0,0.5073228210021625
11,0.1810738891363144,0.5806525945663452,1.0,0.28366712,0.9959999918937684,0.5047606910011382
12,0.5869695544242859,0.575563371181488,0.3,0.054356627,0.2760000228881836,0.5325691869984439
13,0.1049392744898796,0.684266984462738,0.8888888888888888,0.2478251,0.8755555748939514,0.5223480160020699
14,0.1185193434357643,0.6235771179199219,1.0,0.21838571,1.0,0.5020445240006666
15,0.1100531890988349,0.8369734883308411,0.9166666666666666,0.16681877,0.8833333849906921,0.5226944990026823
16,0.5489855408668518,0.4570399224758148,0.0909090909090909,0.04398851,0.2000000029802322,0.5149928610007919
17,0.6143305897712708,0.402226835489273,0.1666666666666666,0.04615487,0.1733333468437194,0.5070219750014076
18,0.1027446314692497,0.8313390016555786,0.9230769230769232,0.17134593,0.9312820434570312,0.528656955997576
19,0.1205434203147888,0.5953301787376404,1.0,0.07261733,0.9200000166893004,0.5175644959999772
20,0.293796569108963,0.673992931842804,0.3333333333333333,0.1439079,0.5066666603088379,0.5069356739986688
21,0.2506454885005951,0.7409729361534119,0.5625,0.04462324,0.5425000190734863,0.5278823720000219
22,0.2956845760345459,0.7570546865463257,0.6842105263157895,0.0922578,0.6547368168830872,0.5085643629972765
23,0.1132839694619178,0.8009374737739563,1.0,0.2118742,0.9660606384277344,0.5132786270005454
24,0.0,1.0,0.0,0.0,0.0,0.2325748670009488
25,0.1220116466283798,0.7785684466362,1.0,0.12784936,0.937777817249298,0.5169665499997791
26,0.118511252105236,0.7483110427856445,0.8181818181818182,0.18077298,0.9212121367454528,0.5120418010010326
27,0.7995006442070007,0.1677241921424865,0.1,0.044620197,0.0346666648983955,0.5040207279998867
28,0.1465160995721817,0.8625349998474121,0.75,0.020965634,0.913333296775818,0.5153986980003538
29,0.0941365286707878,0.7626843452453613,1.0,0.22854972,0.9533333778381348,0.5173918280015641
30,0.2515305280685425,0.7889174222946167,0.8461538461538461,0.08188981,0.8605128526687622,0.5122403540008236
31,0.0855379700660705,0.7841229438781738,0.5,0.0691943,0.5199999809265137,0.513501269997505
32,0.4788901507854461,0.1504598557949066,0.0,0.048196446,0.0,0.5059849329991266
33,0.1215936765074729,0.6360578536987305,1.0,0.20015691,1.0,0.5081349600004614
34,0.0771578177809715,0.8156986832618713,1.0,0.099176735,1.0,0.5092338709982869
35,0.1385391801595688,0.6815177202224731,1.0,0.25002646,0.8880000114440918,0.5169008349985234
36,0.110382355749607,0.6681795120239258,1.0,0.12845856,1.0,0.5085369610023918
37,0.1202707961201667,0.8219687938690186,0.6666666666666666,0.042877033,0.685555636882782,0.5122726810004679
38,0.1378785818815231,0.7307964563369751,0.75,0.14491789,0.9533333778381348,0.5140956340001139
39,0.1163908839225769,0.625950813293457,1.0,0.08981391,0.9433333277702332,0.506060448999051
40,0.2399671524763107,0.7956978678703308,0.75,0.06756253,0.8577777743339539,0.5163782019990322
41,0.2672043442726135,0.79822838306427,0.9285714285714286,0.083103724,0.7542858123779297,0.537443067998538
