,Deletion,Insertion,Pointing Game,Energy Pointing Game,Top-k Inter,Times
0,0.1287026852369308,0.7325483560562134,1.0,0.26237714,0.890666663646698,1.3867391249987122
1,0.0893238484859466,0.5268770456314087,1.0,0.097690865,0.8366667032241821,0.5577110150006774
2,0.1508974879980087,0.7254589200019836,1.0,0.37020826,0.874666690826416,0.5116090480005369
3,0.1194197684526443,0.7852493524551392,1.0,0.26325396,1.0,0.504602793000231
4,0.0819355994462966,0.5816022157669067,1.0,0.14176528,0.9800000190734864,0.515692991000833
5,0.0883485376834869,0.8301602602005005,0.8333333333333334,0.104974,0.9133332371711732,0.5744714209977246
6,0.1467287242412567,0.6629415154457092,1.0,0.21670607,0.9900000095367432,0.5148014829974272
7,0.1103532388806343,0.7800208926200867,0.8181818181818182,0.26528203,0.858181893825531,0.5091147540006205
8,0.1074892506003379,0.7824522852897644,0.8333333333333334,0.20060956,0.944444477558136,0.5161505209980533
9,0.1371473520994186,0.8498196005821228,0.9473684210526316,0.13967808,0.9403508901596068,0.527764032001869
10,0.1155029907822609,0.7907727360725403,1.0,0.25726196,0.9942857027053832,0.502642671999638
11,0.1527427732944488,0.5948954820632935,1.0,0.31886977,0.9200000166893004,0.5159191840029962
12,0.105390764772892,0.8471164703369141,0.9166666666666666,0.07959172,0.8799999356269836,0.5078070689996821
13,0.1077707633376121,0.6190212965011597,0.9,0.30467543,0.842666745185852,0.505282238998916
14,0.1637944132089615,0.6928505897521973,1.0,0.2674157,0.9822222590446472,0.5021567100011453
15,0.1207055076956749,0.8376573324203491,0.8181818181818182,0.17954668,0.8896968960762024,0.5050754730000335
16,0.0948410034179687,0.8162110447883606,0.9,0.060535572,0.8560000658035278,0.5027759879994846
17,0.0675858333706855,0.8633679747581482,0.8333333333333334,0.07515715,0.8155555725097656,0.4884877059994323
18,0.1148017719388008,0.6749854683876038,1.0,0.22736165,0.9288888573646544,0.5112482570002612
19,0.1581515669822693,0.8139263391494751,1.0,0.08992554,0.9533333778381348,0.5011376579968783
20,0.1106287166476249,0.3699654042720794,0.6666666666666666,0.18723142,0.9333333373069764,0.5098411360013415
21,0.1092724278569221,0.8537245988845825,0.8571428571428571,0.051225115,0.7714285850524902,0.5143243249985971
22,0.1457235366106033,0.8067253232002258,0.9473684210526316,0.10168932,0.8940351605415344,0.5165846260024409
23,0.1306693851947784,0.7443551421165466,1.0,0.22639653,0.9440000653266908,0.5191036789983627
24,0.0,1.0,0.0,0.0,0.0,0.2317009779981163
25,0.0976016223430633,0.7847397327423096,1.0,0.1635082,0.9081481099128724,0.5151425000003655
26,0.1303074210882187,0.8442064523696899,1.0,0.22131723,0.97733336687088,0.512235435002367
27,0.0867599546909332,0.8784528374671936,0.7777777777777778,0.06295226,0.92296302318573,0.5015806800001883
28,0.0663322731852531,0.8289873003959656,1.0,0.02368049,0.9555556178092957,0.5094889440006227
29,0.1289530992507934,0.5985937714576721,1.0,0.2747122,0.9173334240913392,0.5110166159975051
30,0.0941930338740348,0.8378058671951294,1.0,0.10160129,0.948718011379242,0.5081702550014597
31,0.0629673898220062,0.8120002746582031,1.0,0.09644031,0.9833333492279052,0.5049073480004154
32,0.1467445790767669,0.3837525248527527,1.0,0.11169059,1.0,0.5104077859978133
33,0.1468134969472885,0.745141327381134,1.0,0.22211131,0.9904761910438538,0.5097831639977812
34,0.0956804826855659,0.7850099802017212,1.0,0.12085844,1.0,0.5024229260016
35,0.144053965806961,0.7030059695243835,1.0,0.28495058,0.9173333048820496,0.5062410009995801
36,0.1089231744408607,0.7198267579078674,1.0,0.17497703,1.0,0.5075409689998196
37,0.0818651691079139,0.8485444784164429,0.7272727272727273,0.052274197,0.7515151500701904,0.5053870560004725
38,0.110945887863636,0.6459788680076599,1.0,0.16122682,1.0,0.5134377439972013
39,0.0805760994553566,0.8244147300720215,1.0,0.13445708,1.0,0.5070283850000123
40,0.1068661287426948,0.8587790131568909,1.0,0.08017492,0.9587879180908204,0.5260751320020063
41,0.1488644033670425,0.8680213689804077,1.0,0.09708209,0.8974360227584839,0.5278821020001487
42,0.10832329839468,0.8186106085777283,1.0,0.11716543,0.9811111092567444,0.5025144729988824
43,0.1478088647127151,0.6460638046264648,1.0,0.11274085,0.9013333320617676,0.4988144240014662
44,0.0941511988639831,0.8057571053504944,1.0,0.13048941,0.977142870426178,0.5022115739993751
45,0.1415355950593948,0.708187997341156,1.0,0.12985569,0.9973333477973938,0.5011167919983563
46,0.1459452360868454,0.7225814461708069,0.9,0.26876515,0.972000002861023,0.5215233649978472
47,0.0747482180595398,0.8864765167236328,0.9,0.09200553,0.9466667175292968,0.5231574380013626
48,0.0942387282848358,0.7280929684638977,1.0,0.2238149,0.9900000095367432,0.5049972800006799
49,0.1524272859096527,0.6436082124710083,1.0,0.37256095,0.993333339691162,0.5079134660009004
50,0.0784870311617851,0.7757685780525208,0.8571428571428571,0.104536556,0.7733333706855774,0.5048585969998385
51,0.0789523124694824,0.7590874433517456,1.0,0.08371317,0.913333296775818,0.5058131629994023
52,0.1892672628164291,0.4504645466804504,0.8,0.31663343,0.9413334131240844,0.5079549440015398
53,0.1793391555547714,0.6995618343353271,1.0,0.37877503,1.0,0.5170762489979097
54,0.1140240132808685,0.8935350775718689,1.0,0.10937168,0.9483333826065063,0.5086312390012608
55,0.1139142289757728,0.6967902779579163,1.0,0.11873414,1.0,0.5157903239996813
56,0.1352042555809021,0.4812086224555969,1.0,0.27307633,1.0,0.5241743429978669
57,0.1131614968180656,0.690694272518158,1.0,0.45672476,0.9942857027053832,0.5135381990003225
58,0.1549448072910308,0.7024941444396973,1.0,0.28886327,1.0,0.519334300999617
